aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
94,372.9,2025-03-04:11,17.8,97.8,57.0,32.5,29.2,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Bengaluru
137,907.5,2025-03-04:10,49.0,29.5,111.0,49.0,48.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Bengaluru
150,957.5,2025-03-04:09,49.5,27.5,125.0,55.5,55.5,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Bengaluru
161,120.7,2025-03-04:08,40.3,36.2,171.9,63.85,31.6,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Bengaluru
325,440.3,2025-03-04:07,63.7,16.7,444.0,55.33,21.3,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Bengaluru
190,60.5,2025-03-04:06,32.1,43.7,118.9,85.85,28.2,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Bengaluru
500,494.0,2025-03-04:05,103.0,12.4,1103.0,20.0,17.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Bengaluru
175,233.4,2025-03-04:04,45.5,28.3,110.6,74.33,31.4,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Bengaluru
184,753.0,2025-03-04:03,88.7,9.8,157.7,80.67,45.7,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Bengaluru
198,73.6,2025-03-04:02,48.6,20.8,128.4,91.86,27.2,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Bengaluru
112,726.0,2025-03-04:01,34.0,11.4,100.0,40.0,81.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Bengaluru
161,981.4,2025-03-04:00,39.9,22.3,86.4,63.5,26.7,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Bengaluru
126,665.0,2025-03-03:23,59.0,5.9,106.0,45.0,26.0,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Bengaluru
137,44.3,2025-03-03:22,38.1,23.6,70.1,49.13,20.0,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Bengaluru
130,554.5,2025-03-03:21,60.5,11.1,80.0,46.5,28.5,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Bengaluru
148,57.4,2025-03-03:20,38.5,21.4,75.9,53.29,20.8,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Bengaluru
153,544.0,2025-03-03:19,54.0,10.4,96.0,55.0,30.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Bengaluru
165,899.6,2025-03-03:18,37.4,23.8,90.5,66.71,20.0,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Bengaluru
153,557.7,2025-03-03:17,45.0,14.1,115.7,55.0,31.3,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Bengaluru
179,73.6,2025-03-03:16,55.8,22.9,109.8,77.23,28.7,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Bengaluru
151,1249.5,2025-03-03:15,46.0,8.2,119.0,56.5,38.0,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Bengaluru
184,151.6,2025-03-03:14,59.0,22.0,115.5,81.21,20.9,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Bengaluru
152,771.0,2025-03-03:13,39.5,7.2,109.0,57.0,39.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Bengaluru
161,1063.2,2025-03-03:12,37.2,27.8,86.7,63.57,16.8,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Bengaluru
133,700.5,2025-03-03:11,39.5,7.3,103.0,47.5,29.0,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Bengaluru
165,292.0,2025-03-03:10,47.0,10.6,152.0,67.0,26.0,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Bengaluru
154,185.0,2025-03-03:09,25.0,22.5,97.8,55.33,30.8,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Bengaluru
136,106.3,2025-03-03:08,31.5,27.8,79.4,48.77,23.7,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Bengaluru
134,287.5,2025-03-03:07,43.7,21.4,78.0,48.0,37.3,2025-03-03T12:30:00,2025-03-03T07:00:00,1740985200,Bengaluru
152,636.1,2025-03-03:06,30.0,28.6,76.2,54.56,27.9,2025-03-03T11:30:00,2025-03-03T06:00:00,1740981600,Bengaluru
140,151.9,2025-03-03:05,48.9,19.7,70.6,50.29,24.3,2025-03-03T10:30:00,2025-03-03T05:00:00,1740978000,Bengaluru
