aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
60,160.3,2025-03-04:11,11.2,43.6,29.0,16.67,8.3,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Chennai
91,363.0,2025-03-04:10,76.5,2.8,58.0,31.0,65.5,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Chennai
93,363.0,2025-03-04:09,33.5,2.8,63.0,32.0,23.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Chennai
108,61.0,2025-03-04:08,25.0,14.2,57.6,38.38,32.8,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Chennai
95,363.0,2025-03-04:07,34.0,2.8,68.0,33.0,24.5,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Chennai
122,91.0,2025-03-04:06,23.3,17.8,59.1,43.38,30.4,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Chennai
118,383.0,2025-03-04:05,39.0,2.8,68.0,42.0,35.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Chennai
111,62.7,2025-03-04:04,25.0,15.6,57.6,39.38,20.3,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Chennai
190,353.0,2025-03-04:03,61.0,3.8,175.0,85.5,73.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Chennai
114,77.2,2025-03-04:02,31.6,15.4,59.7,40.57,50.7,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Chennai
114,373.0,2025-03-04:01,21.0,10.2,73.0,40.5,33.5,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Chennai
127,92.8,2025-03-04:00,25.0,13.9,59.3,45.25,23.9,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Chennai
134,373.0,2025-03-03:23,39.0,2.8,74.0,48.0,36.0,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Chennai
117,62.8,2025-03-03:22,27.8,13.7,59.5,41.63,50.9,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Chennai
188,383.0,2025-03-03:21,72.0,2.8,134.0,84.0,141.5,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Chennai
130,64.5,2025-03-03:20,34.4,13.5,68.8,46.63,56.4,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Chennai
165,383.0,2025-03-03:19,78.0,2.8,122.0,66.5,70.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Chennai
99,763.3,2025-03-03:18,15.4,15.6,46.4,34.86,22.4,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Chennai
118,373.0,2025-03-03:17,86.0,2.8,89.0,42.0,108.0,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Chennai
90,148.3,2025-03-03:16,32.3,11.8,46.4,30.5,22.0,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Chennai
122,453.5,2025-03-03:15,34.0,3.2,61.0,43.5,28.0,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Chennai
98,151.7,2025-03-03:14,32.1,12.2,47.3,34.38,22.3,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Chennai
90,448.5,2025-03-03:13,34.0,3.5,50.5,30.5,27.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Chennai
90,763.3,2025-03-03:12,23.4,17.6,41.0,30.75,21.8,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Chennai
104,363.0,2025-03-03:11,39.0,2.8,58.0,37.0,33.0,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Chennai
100,363.0,2025-03-03:10,39.0,2.8,58.0,35.0,34.0,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Chennai
95,202.2,2025-03-03:09,28.0,15.3,48.8,32.75,24.9,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Chennai
103,220.9,2025-03-03:08,28.4,14.8,56.4,36.67,22.1,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Chennai
93,363.0,2025-03-03:07,38.0,2.8,59.7,32.0,24.0,2025-03-03T12:30:00,2025-03-03T07:00:00,1740985200,Chennai
125,1145.0,2025-03-03:06,23.0,14.3,59.4,44.8,22.0,2025-03-03T11:30:00,2025-03-03T06:00:00,1740981600,Chennai
77,124.3,2025-03-03:05,25.3,20.4,42.3,24.5,26.3,2025-03-03T10:30:00,2025-03-03T05:00:00,1740978000,Chennai
139,164.6,2025-03-03:04,29.3,14.5,76.2,50.0,21.9,2025-03-03T09:30:00,2025-03-03T04:00:00,1740974400,Chennai
