aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
308,105.2,2025-03-04:11,7.3,81.2,430.7,122.0,55.0,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Delhi
59,101.9,2025-03-04:10,5.7,45.3,20.0,16.0,54.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Delhi
212,98.6,2025-03-04:09,4.0,9.5,316.0,212.0,53.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Delhi
207,1051.5,2025-03-04:08,52.7,67.5,131.0,98.3,30.5,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Delhi
188,1145.0,2025-03-04:07,54.7,43.9,111.3,84.0,42.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Delhi
235,1053.4,2025-03-04:06,54.9,54.5,159.1,119.37,38.6,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Delhi
245,0.0,2025-03-04:05,31.0,34.8,180.0,127.0,81.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Delhi
240,16.7,2025-03-04:04,71.5,33.5,163.5,123.06,32.2,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Delhi
238,296.0,2025-03-04:03,154.3,20.4,157.8,121.25,71.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Delhi
248,23.7,2025-03-04:02,99.7,11.5,173.5,129.1,28.7,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Delhi
193,1048.0,2025-03-04:01,376.0,1.4,107.5,88.0,24.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Delhi
229,1340.5,2025-03-04:00,92.6,11.3,153.3,115.12,23.9,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Delhi
266,756.0,2025-03-03:23,54.0,1.8,204.0,143.0,5.0,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Delhi
221,23.4,2025-03-03:22,94.4,19.1,144.8,109.0,27.4,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Delhi
261,887.0,2025-03-03:21,461.0,9.2,168.0,139.0,26.0,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Delhi
241,22.0,2025-03-03:20,115.7,18.7,164.4,123.6,31.5,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Delhi
225,1119.0,2025-03-03:19,507.0,12.2,280.0,225.0,33.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Delhi
262,1409.2,2025-03-03:18,130.7,22.3,185.9,139.6,31.4,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Delhi
247,321.0,2025-03-03:17,204.0,11.2,165.8,128.4,44.5,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Delhi
261,29.7,2025-03-03:16,142.4,16.0,184.5,138.75,32.1,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Delhi
202,321.8,2025-03-03:15,112.3,22.3,141.3,94.67,49.5,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Delhi
260,19.5,2025-03-03:14,124.5,32.7,183.6,137.92,34.1,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Delhi
197,937.0,2025-03-03:13,104.9,5.6,132.5,90.5,40.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Delhi
222,1244.6,2025-03-03:12,101.2,63.8,146.4,109.9,35.2,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Delhi
175,0.0,2025-03-03:11,29.0,90.6,99.0,74.0,47.0,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Delhi
199,44.6,2025-03-03:10,74.6,96.9,128.9,92.42,29.3,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Delhi
202,1145.0,2025-03-03:09,80.6,109.4,125.6,94.24,33.9,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Delhi
209,1120.1,2025-03-03:08,85.6,97.5,134.0,100.04,37.5,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Delhi
207,395.8,2025-03-03:07,93.2,36.9,211.4,98.6,36.7,2025-03-03T12:30:00,2025-03-03T07:00:00,1740985200,Delhi
151,40.4,2025-03-03:06,102.8,41.7,215.5,151.6,49.3,2025-03-03T11:30:00,2025-03-03T06:00:00,1740981600,Delhi
157,1145.0,2025-03-03:05,67.3,35.8,210.0,157.29,51.7,2025-03-03T10:30:00,2025-03-03T05:00:00,1740978000,Delhi
151,31.2,2025-03-03:04,117.3,39.3,201.7,151.37,58.6,2025-03-03T09:30:00,2025-03-03T04:00:00,1740974400,Delhi
256,710.5,2025-03-03:03,207.0,2.9,281.0,135.5,26.0,2025-03-03T08:30:00,2025-03-03T03:00:00,1740970800,Delhi
246,36.8,2025-03-03:02,120.9,11.5,174.7,127.47,29.1,2025-03-03T07:30:00,2025-03-03T02:00:00,1740967200,Delhi
208,564.5,2025-03-03:01,128.5,1.7,141.0,99.0,16.0,2025-03-03T06:30:00,2025-03-03T01:00:00,1740963600,Delhi
195,1472.1,2025-03-03:00,95.6,20.7,118.8,89.25,26.8,2025-03-03T05:30:00,2025-03-03T00:00:00,1740960000,Delhi
179,665.0,2025-03-02:23,247.0,1.6,130.0,77.0,30.0,2025-03-03T04:30:00,2025-03-02T23:00:00,1740956400,Delhi
196,34.3,2025-03-02:22,96.5,20.1,120.9,89.98,30.6,2025-03-03T03:30:00,2025-03-02T22:00:00,1740952800,Delhi
187,690.5,2025-03-02:21,128.5,8.1,126.5,83.25,21.0,2025-03-03T02:30:00,2025-03-02T21:00:00,1740949200,Delhi
221,28.0,2025-03-02:20,104.4,17.8,145.5,109.17,29.1,2025-03-03T01:30:00,2025-03-02T20:00:00,1740945600,Delhi
155,1532.0,2025-03-02:19,248.0,1.7,203.5,59.5,20.0,2025-03-03T00:30:00,2025-03-02T19:00:00,1740942000,Delhi
243,1789.1,2025-03-02:18,120.6,9.5,167.5,125.75,25.0,2025-03-02T23:30:00,2025-03-02T18:00:00,1740938400,Delhi
229,448.0,2025-03-02:17,180.3,12.2,156.0,115.0,21.5,2025-03-02T22:30:00,2025-03-02T17:00:00,1740934800,Delhi
229,5958.7,2025-03-02:16,123.4,10.0,152.6,114.76,33.2,2025-03-02T21:30:00,2025-03-02T16:00:00,1740931200,Delhi
194,25.5,2025-03-02:15,227.5,17.1,114.7,88.33,13.0,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Delhi
176,2955.7,2025-03-02:14,116.8,21.1,99.5,74.87,22.6,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Delhi
137,288.5,2025-03-02:13,75.3,17.1,73.2,49.0,32.0,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Delhi
146,830.1,2025-03-02:12,61.7,58.4,69.7,52.36,20.5,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Delhi
139,195.7,2025-03-02:11,87.1,20.2,72.0,50.0,31.3,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Delhi
153,7318.0,2025-03-02:10,58.6,59.8,77.1,57.84,21.2,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Delhi
116,232.0,2025-03-02:09,200.0,5.0,57.0,41.5,24.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Delhi
165,7175.3,2025-03-02:08,61.9,57.7,89.3,66.98,23.8,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Delhi
154,594.5,2025-03-02:07,243.0,38.2,68.3,58.67,13.5,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Delhi
184,1038.5,2025-03-02:06,62.2,52.8,107.5,80.73,29.7,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Delhi
159,524.0,2025-03-02:05,190.0,3.2,85.0,62.0,22.0,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Delhi
193,15.3,2025-03-02:04,73.6,30.2,117.1,87.8,39.3,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Delhi
190,381.7,2025-03-02:03,48.7,22.3,114.0,85.67,40.5,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Delhi
178,1219.7,2025-03-02:02,72.8,13.4,102.0,76.67,33.5,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Delhi
273,716.0,2025-03-02:01,65.0,6.3,192.0,148.0,38.0,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Delhi
167,1145.0,2025-03-02:00,67.2,14.2,91.0,68.41,24.7,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Delhi
