aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
112,73.3,2025-03-04:11,2.3,121.7,58.9,39.67,28.3,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Hyderabad
165,252.0,2025-03-04:10,39.0,12.5,114.0,67.0,49.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Hyderabad
181,68.3,2025-03-04:09,1.0,135.0,98.8,79.0,31.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Hyderabad
162,572.5,2025-03-04:08,28.4,40.6,89.1,64.4,27.8,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Hyderabad
205,840.6,2025-03-04:07,25.9,68.9,121.3,97.0,30.4,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Hyderabad
177,1226.8,2025-03-04:06,38.3,35.9,108.9,75.86,30.1,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Hyderabad
256,886.7,2025-03-04:05,29.9,48.9,168.8,135.0,36.1,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Hyderabad
188,1145.0,2025-03-04:04,58.3,30.4,110.3,84.31,44.8,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Hyderabad
235,206.6,2025-03-04:03,13.0,75.0,148.8,119.0,48.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Hyderabad
191,1585.4,2025-03-04:02,52.2,12.8,112.3,85.93,22.0,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Hyderabad
213,1125.8,2025-03-04:01,38.2,33.2,128.8,103.0,29.4,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Hyderabad
175,1585.4,2025-03-04:00,50.8,12.4,102.5,74.23,20.1,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Hyderabad
195,1154.4,2025-03-03:23,46.2,19.2,111.3,89.0,32.7,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Hyderabad
182,1240.4,2025-03-03:22,47.2,12.2,105.1,79.15,30.0,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Hyderabad
213,292.4,2025-03-03:21,37.0,33.0,128.8,103.0,58.0,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Hyderabad
189,981.4,2025-03-03:20,51.4,17.0,114.1,84.8,23.4,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Hyderabad
