aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
137,284.9,2025-03-04:11,23.0,93.4,85.3,49.0,33.3,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Kolkata
139,605.0,2025-03-04:10,45.0,28.5,110.0,50.0,29.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Kolkata
152,605.0,2025-03-04:09,43.0,28.3,116.0,57.0,24.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Kolkata
156,46.4,2025-03-04:08,37.3,63.8,91.9,59.92,24.0,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Kolkata
165,816.0,2025-03-04:07,50.0,27.9,132.0,67.0,48.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Kolkata
169,858.8,2025-03-04:06,47.1,81.3,103.0,69.67,39.9,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Kolkata
168,927.0,2025-03-04:05,55.0,26.4,156.0,69.0,53.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Kolkata
178,72.1,2025-03-04:04,52.4,49.7,117.7,76.23,35.9,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Kolkata
235,877.0,2025-03-04:03,77.0,17.5,168.0,119.0,52.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Kolkata
192,115.1,2025-03-04:02,67.3,29.3,130.4,86.75,34.3,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Kolkata
204,736.5,2025-03-04:01,55.0,5.4,125.5,96.0,28.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Kolkata
190,1321.2,2025-03-04:00,60.8,12.2,126.0,85.77,28.2,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Kolkata
189,1482.0,2025-03-03:23,88.0,4.8,144.0,85.0,28.0,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Kolkata
