,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
0,58,68.7,2025-03-04:10,1.7,126.3,39.7,15.67,18.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Amravati
1,62,68.9,2025-03-04:09,1.0,130.0,38.0,15.0,18.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Amravati
2,161,572.5,2025-03-04:08,8.0,86.6,85.0,63.5,34.0,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Amravati
3,139,404.6,2025-03-04:07,7.7,95.4,72.7,50.0,25.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Amravati
4,166,572.5,2025-03-04:06,11.0,78.1,90.0,67.5,28.5,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Amravati
5,152,447.2,2025-03-04:05,11.0,72.4,76.3,57.0,25.3,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Amravati
6,181,572.5,2025-03-04:04,17.5,68.1,105.0,78.5,26.5,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Amravati
7,102,196.7,2025-03-04:03,11.0,61.0,49.0,36.0,19.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Amravati
8,161,0.0,2025-03-04:02,43.0,9.7,85.0,64.0,11.0,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Amravati
9,141,447.2,2025-03-04:01,16.3,43.0,68.0,50.67,23.3,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Amravati
10,153,572.5,2025-03-04:00,19.0,34.0,77.5,58.0,25.5,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Amravati
11,140,428.9,2025-03-03:23,16.0,37.7,68.0,50.33,21.7,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Amravati
12,155,572.5,2025-03-03:22,13.0,45.3,79.0,59.5,26.5,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Amravati
13,100,141.8,2025-03-03:21,10.0,45.0,49.0,35.0,14.0,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Amravati
14,165,572.5,2025-03-03:20,14.0,44.4,89.0,66.5,26.0,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Amravati
15,164,428.9,2025-03-03:19,15.7,45.9,88.7,66.0,23.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Amravati
16,185,572.5,2025-03-03:18,18.5,46.4,108.5,81.5,27.5,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Amravati
17,161,430.7,2025-03-03:17,18.3,57.9,88.0,64.0,28.7,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Amravati
18,180,572.5,2025-03-03:16,44.0,23.9,104.0,78.0,28.0,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Amravati
19,87,147.1,2025-03-03:15,18.0,81.0,47.0,29.0,31.0,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Amravati
20,192,1145.0,2025-03-03:14,39.0,35.4,116.0,87.0,27.0,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Amravati
21,130,430.7,2025-03-03:13,22.7,58.0,64.3,46.33,25.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Amravati
22,153,572.5,2025-03-03:12,25.0,46.6,73.0,55.0,22.0,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Amravati
23,152,572.5,2025-03-03:11,20.3,55.2,75.8,57.0,22.3,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Amravati
24,155,572.5,2025-03-03:10,15.7,63.8,78.7,59.0,22.7,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Amravati
25,157,572.5,2025-03-03:09,11.0,72.5,81.5,61.0,23.0,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Amravati
26,172,572.5,2025-03-03:08,9.5,73.0,96.0,72.0,21.0,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Amravati
27,175,954.2,2025-03-03:07,8.3,70.4,99.2,74.33,37.0,2025-03-03T12:30:00,2025-03-03T07:00:00,1740985200,Amravati
28,184,1145.0,2025-03-03:06,7.0,69.3,108.0,81.0,44.0,2025-03-03T11:30:00,2025-03-03T06:00:00,1740981600,Amravati
29,193,0.0,2025-03-03:05,12.0,62.8,117.0,88.0,9.0,2025-03-03T10:30:00,2025-03-03T05:00:00,1740978000,Amravati
30,189,572.5,2025-03-03:04,17.0,66.1,112.5,84.5,30.0,2025-03-03T09:30:00,2025-03-03T04:00:00,1740974400,Amravati
31,80,183.3,2025-03-03:03,9.0,56.0,40.0,26.0,16.0,2025-03-03T08:30:00,2025-03-03T03:00:00,1740970800,Amravati
32,165,572.5,2025-03-03:02,28.5,31.9,89.0,67.0,30.0,2025-03-03T07:30:00,2025-03-03T02:00:00,1740967200,Amravati
33,139,442.8,2025-03-03:01,12.7,40.8,68.3,50.0,23.3,2025-03-03T06:30:00,2025-03-03T01:00:00,1740963600,Amravati
34,159,572.5,2025-03-03:00,14.5,33.2,82.5,62.0,27.0,2025-03-03T05:30:00,2025-03-03T00:00:00,1740960000,Amravati
35,141,425.0,2025-03-02:23,12.7,39.1,71.3,50.67,25.0,2025-03-03T04:30:00,2025-03-02T23:00:00,1740956400,Amravati
36,169,572.5,2025-03-02:22,22.0,26.6,92.0,69.5,31.0,2025-03-03T03:30:00,2025-03-02T22:00:00,1740952800,Amravati
37,85,130.1,2025-03-02:21,9.0,51.0,49.0,28.0,21.0,2025-03-03T02:30:00,2025-03-02T21:00:00,1740949200,Amravati
38,178,572.5,2025-03-02:20,27.5,29.6,101.5,76.5,29.0,2025-03-03T01:30:00,2025-03-02T20:00:00,1740945600,Amravati
39,171,425.0,2025-03-02:19,22.3,44.9,98.7,71.0,25.0,2025-03-03T00:30:00,2025-03-02T19:00:00,1740942000,Amravati
40,199,572.5,2025-03-02:18,29.0,41.8,123.5,92.5,27.0,2025-03-02T23:30:00,2025-03-02T18:00:00,1740938400,Amravati
41,173,419.8,2025-03-02:17,22.3,60.2,96.7,72.67,29.7,2025-03-02T22:30:00,2025-03-02T17:00:00,1740934800,Amravati
42,191,1717.5,2025-03-02:16,68.0,13.2,114.5,86.0,30.0,2025-03-02T21:30:00,2025-03-02T16:00:00,1740931200,Amravati
43,95,114.4,2025-03-02:15,9.0,97.0,43.0,33.0,35.0,2025-03-02T20:30:00,2025-03-02T15:00:00,1740927600,Amravati
44,173,572.5,2025-03-02:14,30.0,54.0,96.5,72.5,30.5,2025-03-02T19:30:00,2025-03-02T14:00:00,1740924000,Amravati
45,92,92.6,2025-03-02:13,5.0,129.0,44.3,31.67,32.3,2025-03-02T18:30:00,2025-03-02T13:00:00,1740920400,Amravati
46,91,81.7,2025-03-02:12,3.0,145.0,45.0,31.0,31.0,2025-03-02T17:30:00,2025-03-02T12:00:00,1740916800,Amravati
47,171,1145.0,2025-03-02:11,7.0,93.2,94.0,71.0,55.0,2025-03-02T16:30:00,2025-03-02T11:00:00,1740913200,Amravati
48,169,572.5,2025-03-02:10,7.5,102.0,93.5,70.0,39.5,2025-03-02T15:30:00,2025-03-02T10:00:00,1740909600,Amravati
49,101,90.5,2025-03-02:09,2.0,162.0,37.0,27.0,37.0,2025-03-02T14:30:00,2025-03-02T09:00:00,1740906000,Amravati
50,169,572.5,2025-03-02:08,8.5,97.6,93.0,70.0,41.0,2025-03-02T13:30:00,2025-03-02T08:00:00,1740902400,Amravati
51,166,411.8,2025-03-02:07,8.3,99.4,90.0,67.33,33.7,2025-03-02T12:30:00,2025-03-02T07:00:00,1740898800,Amravati
52,193,572.5,2025-03-02:06,11.5,68.1,116.5,87.5,32.0,2025-03-02T11:30:00,2025-03-02T06:00:00,1740895200,Amravati
53,171,471.2,2025-03-02:05,12.0,69.8,92.0,71.33,32.7,2025-03-02T10:30:00,2025-03-02T05:00:00,1740891600,Amravati
54,195,0.0,2025-03-02:04,24.0,69.5,119.0,89.0,21.0,2025-03-02T09:30:00,2025-03-02T04:00:00,1740888000,Amravati
55,110,268.5,2025-03-02:03,13.0,73.0,43.0,39.0,34.0,2025-03-02T08:30:00,2025-03-02T03:00:00,1740884400,Amravati
56,190,1145.0,2025-03-02:02,41.5,21.7,114.0,85.5,28.0,2025-03-02T07:30:00,2025-03-02T02:00:00,1740880800,Amravati
57,155,471.2,2025-03-02:01,27.0,38.5,76.0,59.33,30.7,2025-03-02T06:30:00,2025-03-02T01:00:00,1740877200,Amravati
58,169,572.5,2025-03-02:00,34.0,21.3,92.5,69.5,29.0,2025-03-02T05:30:00,2025-03-02T00:00:00,1740873600,Amravati
59,157,467.1,2025-03-01:23,29.0,32.2,77.3,61.0,32.3,2025-03-02T04:30:00,2025-03-01T23:00:00,1740870000,Amravati
60,168,572.5,2025-03-01:22,16.0,51.1,92.0,69.0,31.0,2025-03-02T03:30:00,2025-03-01T22:00:00,1740866400,Amravati
61,123,256.2,2025-03-01:21,19.0,54.0,47.0,44.0,39.0,2025-03-02T02:30:00,2025-03-01T21:00:00,1740862800,Amravati
62,210,572.5,2025-03-01:20,15.5,68.4,134.0,100.5,39.0,2025-03-02T01:30:00,2025-03-01T20:00:00,1740859200,Amravati
63,184,85.4,2025-03-01:19,47.0,27.4,104.3,81.33,21.7,2025-03-02T00:30:00,2025-03-01T19:00:00,1740855600,Amravati
64,209,0.0,2025-03-01:18,61.0,14.1,133.0,100.0,13.0,2025-03-01T23:30:00,2025-03-01T18:00:00,1740852000,Amravati
65,185,61.1,2025-03-01:17,46.7,41.8,105.7,82.0,19.0,2025-03-01T22:30:00,2025-03-01T17:00:00,1740848400,Amravati
66,228,0.0,2025-03-01:16,55.0,27.0,152.0,114.0,14.0,2025-03-01T21:30:00,2025-03-01T16:00:00,1740844800,Amravati
67,129,183.3,2025-03-01:15,18.0,97.0,51.0,46.0,31.0,2025-03-01T20:30:00,2025-03-01T15:00:00,1740841200,Amravati
68,199,0.0,2025-03-01:14,74.0,14.3,122.0,92.0,11.0,2025-03-01T19:30:00,2025-03-01T14:00:00,1740837600,Amravati
69,154,442.8,2025-03-01:13,21.7,81.0,74.3,58.33,29.7,2025-03-01T18:30:00,2025-03-01T13:00:00,1740834000,Amravati
70,162,572.5,2025-03-01:12,23.5,73.0,86.0,64.5,29.0,2025-03-01T17:30:00,2025-03-01T12:00:00,1740830400,Amravati
71,149,412.2,2025-03-01:11,16.0,100.3,69.7,53.67,28.3,2025-03-01T16:30:00,2025-03-01T11:00:00,1740826800,Amravati
