,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
0,72,80.5,2025-03-04:10,3.3,134.0,38.7,22.0,23.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Talengana
1,76,73.5,2025-03-04:09,2.0,141.0,37.0,21.0,18.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Talengana
2,72,80.9,2025-03-04:08,2.0,138.0,34.7,20.67,17.0,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Talengana
3,69,88.3,2025-03-04:07,2.0,135.0,32.3,20.33,16.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Talengana
4,67,95.7,2025-03-04:06,2.0,132.0,30.0,20.0,15.0,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Talengana
5,77,130.1,2025-03-04:05,4.3,111.3,34.3,24.33,22.7,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Talengana
6,86,164.6,2025-03-04:04,6.7,90.7,38.7,28.67,30.3,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Talengana
7,95,199.0,2025-03-04:03,9.0,70.0,43.0,33.0,38.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Talengana
8,98,201.1,2025-03-04:02,9.7,63.3,44.7,34.0,40.7,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Talengana
9,100,203.3,2025-03-04:01,10.3,56.7,46.3,35.0,43.3,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Talengana
10,102,205.4,2025-03-04:00,11.0,50.0,48.0,36.0,46.0,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Talengana
11,108,212.6,2025-03-03:23,11.3,53.3,48.7,38.33,46.7,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Talengana
12,114,219.8,2025-03-03:22,11.7,56.7,49.3,40.67,47.3,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Talengana
13,121,227.0,2025-03-03:21,12.0,60.0,50.0,43.0,48.0,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Talengana
14,131,261.8,2025-03-03:20,16.0,57.0,55.3,47.0,52.7,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Talengana
15,142,296.7,2025-03-03:19,20.0,54.0,60.7,51.0,57.3,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Talengana
16,153,331.5,2025-03-03:18,24.0,51.0,66.0,55.0,62.0,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Talengana
17,149,308.9,2025-03-03:17,24.0,62.3,64.3,53.67,66.3,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Talengana
18,146,286.4,2025-03-03:16,24.0,73.7,62.7,52.33,70.7,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Talengana
19,142,263.8,2025-03-03:15,24.0,85.0,61.0,51.0,75.0,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Talengana
20,126,219.4,2025-03-03:14,19.0,96.3,54.0,45.0,65.0,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Talengana
21,110,175.1,2025-03-03:13,14.0,107.7,47.0,39.0,55.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Talengana
22,95,130.7,2025-03-03:12,9.0,119.0,40.0,33.0,45.0,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Talengana
23,94,117.9,2025-03-03:11,6.7,133.7,40.0,32.33,48.0,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Talengana
