,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
0,52,353.0,2025-03-04:09,132.0,5.2,58.0,13.0,23.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Vepagunta
1,100,252.0,2025-03-04:08,105.0,8.6,73.0,35.0,22.5,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Vepagunta
2,150,675.0,2025-03-04:07,139.0,6.1,128.0,54.0,13.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Vepagunta
3,171,338.0,2025-03-04:06,113.5,9.9,125.0,71.5,11.5,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Vepagunta
4,171,474.0,2025-03-04:05,133.0,7.8,156.0,71.33,13.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Vepagunta
5,163,288.0,2025-03-04:04,119.0,6.8,121.5,65.5,12.0,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Vepagunta
6,171,746.0,2025-03-04:03,172.0,3.6,218.0,71.0,16.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Vepagunta
7,231,479.5,2025-03-04:02,100.5,6.9,195.5,116.5,25.5,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Vepagunta
8,104,544.0,2025-03-04:01,117.0,4.2,82.0,37.0,23.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Vepagunta
9,176,1145.0,2025-03-04:00,66.0,10.6,100.0,75.0,20.0,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Vepagunta
10,78,262.0,2025-03-03:23,96.0,4.2,62.0,25.0,21.0,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Vepagunta
11,102,96.0,2025-03-03:22,63.5,7.3,64.0,36.0,8.0,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Vepagunta
12,98,202.0,2025-03-03:21,105.0,4.1,92.0,34.0,12.0,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Vepagunta
13,153,101.0,2025-03-03:20,87.0,6.9,90.0,55.0,13.5,2025-03-04T01:30:00,2025-03-03T20:00:00,1741032000,Vepagunta
14,63,333.0,2025-03-03:19,122.0,4.1,56.0,18.0,22.0,2025-03-04T00:30:00,2025-03-03T19:00:00,1741028400,Vepagunta
15,90,216.5,2025-03-03:18,91.0,7.0,58.0,30.5,23.5,2025-03-03T23:30:00,2025-03-03T18:00:00,1741024800,Vepagunta
16,97,954.0,2025-03-03:17,108.7,6.1,92.0,33.67,18.7,2025-03-03T22:30:00,2025-03-03T17:00:00,1741021200,Vepagunta
17,93,873.0,2025-03-03:16,101.0,6.9,64.5,32.0,23.0,2025-03-03T21:30:00,2025-03-03T16:00:00,1741017600,Vepagunta
18,112,2429.0,2025-03-03:15,144.0,4.4,160.0,40.0,9.0,2025-03-03T20:30:00,2025-03-03T15:00:00,1741014000,Vepagunta
19,134,677.0,2025-03-03:14,107.0,7.1,129.5,48.0,8.5,2025-03-03T19:30:00,2025-03-03T14:00:00,1741010400,Vepagunta
20,78,635.0,2025-03-03:13,139.0,4.2,88.0,25.0,10.0,2025-03-03T18:30:00,2025-03-03T13:00:00,1741006800,Vepagunta
21,199,1145.0,2025-03-03:12,75.0,9.4,122.0,92.0,10.0,2025-03-03T17:30:00,2025-03-03T12:00:00,1741003200,Vepagunta
22,61,60.0,2025-03-03:11,146.0,4.2,54.0,17.0,8.0,2025-03-03T16:30:00,2025-03-03T11:00:00,1740999600,Vepagunta
23,52,60.0,2025-03-03:10,164.0,4.5,56.0,13.0,7.0,2025-03-03T15:30:00,2025-03-03T10:00:00,1740996000,Vepagunta
24,89,60.0,2025-03-03:09,140.0,7.2,74.5,30.0,6.5,2025-03-03T14:30:00,2025-03-03T09:00:00,1740992400,Vepagunta
25,125,60.0,2025-03-03:08,153.5,6.2,100.0,44.5,5.0,2025-03-03T13:30:00,2025-03-03T08:00:00,1740988800,Vepagunta
26,160,55.5,2025-03-03:07,150.5,6.6,131.0,63.0,15.0,2025-03-03T12:30:00,2025-03-03T07:00:00,1740985200,Vepagunta
27,118,514.0,2025-03-03:06,212.0,5.0,154.0,42.0,27.0,2025-03-03T11:30:00,2025-03-03T06:00:00,1740981600,Vepagunta
28,228,0.0,2025-03-03:05,104.0,9.4,152.0,114.0,26.0,2025-03-03T10:30:00,2025-03-03T05:00:00,1740978000,Vepagunta
29,195,333.0,2025-03-03:04,141.5,6.8,153.0,89.5,23.0,2025-03-03T09:30:00,2025-03-03T04:00:00,1740974400,Vepagunta
30,93,595.0,2025-03-03:03,149.0,4.3,92.0,32.0,22.0,2025-03-03T08:30:00,2025-03-03T03:00:00,1740970800,Vepagunta
31,152,217.0,2025-03-03:02,104.0,7.2,92.0,54.5,20.0,2025-03-03T07:30:00,2025-03-03T02:00:00,1740967200,Vepagunta
32,110,343.0,2025-03-03:01,132.0,4.4,82.0,39.0,16.0,2025-03-03T06:30:00,2025-03-03T01:00:00,1740963600,Vepagunta
33,155,0.0,2025-03-03:00,65.0,9.7,79.0,59.0,16.0,2025-03-03T05:30:00,2025-03-03T00:00:00,1740960000,Vepagunta
34,118,232.0,2025-03-02:23,126.0,4.2,80.0,42.0,16.0,2025-03-03T04:30:00,2025-03-02T23:00:00,1740956400,Vepagunta
35,123,111.0,2025-03-02:22,96.0,7.0,76.5,44.0,12.5,2025-03-03T03:30:00,2025-03-02T22:00:00,1740952800,Vepagunta
36,69,212.0,2025-03-02:21,135.0,4.0,58.0,21.0,15.0,2025-03-03T02:30:00,2025-03-02T21:00:00,1740949200,Vepagunta
37,98,156.0,2025-03-02:20,108.0,6.4,61.5,34.0,14.5,2025-03-03T01:30:00,2025-03-02T20:00:00,1740945600,Vepagunta
38,89,343.0,2025-03-02:19,173.0,3.9,72.0,30.0,15.0,2025-03-03T00:30:00,2025-03-02T19:00:00,1740942000,Vepagunta
39,155,0.0,2025-03-02:18,93.0,11.0,79.0,59.0,15.0,2025-03-02T23:30:00,2025-03-02T18:00:00,1740938400,Vepagunta
40,80,403.0,2025-03-02:17,180.0,4.2,66.0,26.0,16.0,2025-03-02T22:30:00,2025-03-02T17:00:00,1740934800,Vepagunta
