aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
144,274.9,2025-03-04:11,54.3,96.7,96.4,51.78,37.8,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Mumbai
255,648.3,2025-03-04:10,212.7,33.4,156.0,45.67,1341.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Mumbai
166,675.3,2025-03-04:09,149.0,28.0,155.3,67.33,33.5,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Mumbai
181,53.1,2025-03-04:08,43.6,52.2,114.6,79.03,34.3,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Mumbai
168,224.3,2025-03-04:07,99.7,26.1,141.8,69.17,45.3,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Mumbai
207,19.2,2025-03-04:06,46.7,43.1,139.2,98.03,38.6,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Mumbai
253,312.0,2025-03-04:05,66.0,11.5,282.0,133.0,125.0,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Mumbai
205,44.0,2025-03-04:04,58.0,33.1,138.1,96.89,47.0,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Mumbai
200,362.7,2025-03-04:03,84.3,5.4,210.7,93.33,36.7,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Mumbai
197,44.2,2025-03-04:02,70.9,11.8,141.0,90.7,45.5,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Mumbai
215,628.0,2025-03-04:01,182.0,5.0,358.7,104.67,54.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Mumbai
189,9.7,2025-03-04:00,65.6,14.4,130.7,84.53,44.4,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Mumbai
187,386.7,2025-03-03:23,100.5,12.2,123.8,83.5,55.7,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Mumbai
199,9.4,2025-03-03:22,56.6,20.1,142.4,92.09,43.4,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Mumbai
195,259.5,2025-03-03:21,90.6,12.8,247.0,89.4,66.3,2025-03-04T02:30:00,2025-03-03T21:00:00,1741035600,Mumbai
