aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts,city_name
60,67.1,2025-03-04:11,1.7,111.0,41.0,16.67,13.0,2025-03-04T16:30:00,2025-03-04T11:00:00,1741086000,Pune
62,67.1,2025-03-04:10,1.3,113.0,44.0,17.33,14.0,2025-03-04T15:30:00,2025-03-04T10:00:00,1741082400,Pune
63,67.1,2025-03-04:09,1.0,115.0,47.0,18.0,15.0,2025-03-04T14:30:00,2025-03-04T09:00:00,1741078800,Pune
199,801.5,2025-03-04:08,59.3,71.6,127.0,92.3,23.8,2025-03-04T13:30:00,2025-03-04T08:00:00,1741075200,Pune
178,976.5,2025-03-04:07,49.5,92.0,115.6,76.17,23.0,2025-03-04T12:30:00,2025-03-04T07:00:00,1741071600,Pune
216,1431.3,2025-03-04:06,73.8,80.5,149.8,105.25,27.0,2025-03-04T11:30:00,2025-03-04T06:00:00,1741068000,Pune
233,1717.5,2025-03-04:05,91.5,60.3,163.1,117.5,28.3,2025-03-04T10:30:00,2025-03-04T05:00:00,1741064400,Pune
226,1017.8,2025-03-04:04,54.2,66.7,164.1,112.22,34.7,2025-03-04T09:30:00,2025-03-04T04:00:00,1741060800,Pune
265,2290.0,2025-03-04:03,127.0,20.1,189.5,142.0,31.0,2025-03-04T08:30:00,2025-03-04T03:00:00,1741057200,Pune
201,2175.5,2025-03-04:02,60.2,6.4,137.0,93.9,20.7,2025-03-04T07:30:00,2025-03-04T02:00:00,1741053600,Pune
240,4007.5,2025-03-04:01,99.0,2.3,163.5,123.0,19.0,2025-03-04T06:30:00,2025-03-04T01:00:00,1741050000,Pune
201,1431.3,2025-03-04:00,71.8,9.2,133.3,93.58,16.2,2025-03-04T05:30:00,2025-03-04T00:00:00,1741046400,Pune
197,1526.7,2025-03-03:23,91.2,6.4,126.8,90.89,14.8,2025-03-04T04:30:00,2025-03-03T23:00:00,1741042800,Pune
209,1488.5,2025-03-03:22,59.7,7.1,144.2,100.0,24.0,2025-03-04T03:30:00,2025-03-03T22:00:00,1741039200,Pune
