aqi,co,no2,o3,pm10,pm25,so2,city_name,hour
128,215.4,25.7,92.1,99.7,45.67,29.2,Ahmedabad,11
211,614.5,81.5,37.8,209.0,101.0,39.0,Ahmedabad,10
208,534.0,71.0,34.2,201.0,99.0,37.5,Ahmedabad,09
206,91.0,40.2,42.0,141.8,97.91,25.5,Ahmedabad,08
227,121.0,56.0,61.1,170.8,113.25,45.3,Ahmedabad,07
217,79.8,37.1,35.3,150.8,106.1,34.4,Ahmedabad,06
223,86.2,58.5,55.5,155.3,110.17,52.5,Ahmedabad,05
176,159.6,66.8,25.7,108.7,74.89,40.2,Ahmedabad,04
175,295.0,89.6,29.0,112.4,74.2,42.0,Ahmedabad,03
152,176.5,56.8,9.4,90.3,54.75,46.5,Ahmedabad,02
156,80.3,48.0,17.3,85.0,59.9,33.0,Ahmedabad,01
157,50.5,41.8,14.8,82.5,60.5,24.0,Ahmedabad,00
155,28.8,35.6,20.1,80.9,59.27,25.9,Ahmedabad,23
172,131.2,65.0,11.1,104.0,72.2,46.6,Ahmedabad,22
163,117.2,36.4,19.9,89.9,65.5,34.6,Ahmedabad,21
186,81.8,49.7,17.8,112.7,82.8,34.9,Ahmedabad,20
248,705.5,136.5,0.8,226.0,129.0,20.0,Ahmedabad,19
229,1145.0,55.6,10.8,153.4,114.75,43.5,Ahmedabad,18
231,563.7,146.3,6.6,175.5,116.33,56.5,Ahmedabad,17
200,750.0,158.0,2.5,131.2,93.0,51.7,Ahmedabad,16
209,403.2,156.9,6.1,136.6,99.89,33.4,Ahmedabad,15
176,308.8,114.8,4.0,106.8,75.2,45.2,Ahmedabad,14
176,96.9,102.0,11.8,103.7,75.1,23.5,Ahmedabad,13
152,508.9,36.9,26.6,75.6,56.78,22.6,Ahmedabad,12
167,151.8,55.2,39.4,99.8,68.4,22.8,Ahmedabad,11
154,484.0,72.0,18.8,115.0,58.5,36.0,Ahmedabad,10
168,214.5,63.0,22.6,112.8,69.0,23.0,Ahmedabad,09
173,191.8,60.0,28.2,115.5,72.75,30.0,Ahmedabad,08
172,47.0,32.5,38.8,102.0,72.0,37.0,Ahmedabad,07
172,111.3,82.0,21.8,105.7,71.67,37.7,Ahmedabad,06
170,46.4,37.4,37.6,98.0,70.71,50.6,Ahmedabad,05
170,35.6,60.0,28.2,99.9,70.75,47.9,Ahmedabad,04
172,214.8,101.8,28.1,109.3,72.25,55.0,Ahmedabad,03
162,60.9,62.4,9.8,92.1,64.75,45.0,Ahmedabad,02
170,69.3,86.5,15.9,101.2,70.33,76.3,Ahmedabad,01
168,9977.9,48.3,13.7,94.9,69.0,52.0,Ahmedabad,00
159,23.8,56.3,23.8,86.8,62.5,80.0,Ahmedabad,23
180,88.3,64.5,13.1,120.3,77.75,35.5,Ahmedabad,22
190,41.5,38.8,26.4,122.9,85.3,51.4,Ahmedabad,21
213,51.7,52.7,23.5,148.3,102.44,43.0,Ahmedabad,20
242,609.5,207.0,3.5,317.0,124.5,116.5,Ahmedabad,19
160,1001.9,71.8,8.4,213.8,160.13,51.0,Ahmedabad,18
264,645.5,202.0,4.8,217.3,141.25,71.3,Ahmedabad,17
212,396.7,125.3,7.4,150.3,102.14,25.1,Ahmedabad,16
218,441.5,180.7,5.4,161.8,106.83,40.0,Ahmedabad,15
193,264.4,129.2,9.0,141.0,87.4,12.5,Ahmedabad,14
184,23.4,52.6,22.3,113.3,80.75,22.4,Ahmedabad,13
157,763.3,43.0,39.8,81.3,61.0,30.7,Ahmedabad,12
160,47.6,39.1,39.4,92.9,62.57,24.1,Ahmedabad,11
162,18.1,38.0,29.7,91.4,64.11,36.9,Ahmedabad,10
174,18.4,44.0,54.4,109.0,73.6,35.8,Ahmedabad,09
175,21.4,35.8,38.2,106.0,74.56,35.2,Ahmedabad,08
182,45.5,46.0,56.8,119.8,79.5,45.8,Ahmedabad,07
173,572.5,26.6,36.9,96.8,72.38,39.6,Ahmedabad,06
179,73.0,57.4,52.3,113.0,77.2,72.6,Ahmedabad,05
179,70.7,69.8,23.4,112.0,77.33,38.8,Ahmedabad,04
171,67.1,42.6,32.5,101.3,71.5,55.5,Ahmedabad,03
177,74.6,73.2,8.4,110.6,75.8,34.0,Ahmedabad,02
176,16.6,38.7,16.6,101.7,74.6,29.9,Ahmedabad,01
177,14.3,38.7,16.7,103.4,75.9,35.1,Ahmedabad,00
